INFLATION EXPECTATIONS; YEAR-ON-YEAR CHANGE IN HICP,,,,,,,,,,,,,,,,,,,,,,,
TARGET_PERIOD,FCT_SOURCE,POINT,TN1_0,FN1_0TN0_6,FN0_5TN0_1,F0_0T0_4,F0_5T0_9,F1_0T1_4,F1_5T1_9,F2_0T2_4,F2_5T2_9,F3_0T3_4,F3_5T3_9,F4_0,,,,,,,,,
2023,121,1.33,0,.5,5,10,19,30,19,10,5,.5,.5,.5,,,,,,,,,
2023,127,1.8,3,5,5.5,8.2,10.8,12.5,13,12.5,10.5,9,5,5,,,,,,,,,
2023,128,2,,,1,2,5,15,20,25,20,10,2,,,,,,,,,,
2023Jun,1,1.6,,1,3,5,10,17,36,20,5,2,1,,,,,,,,,,
2023Jun,4,,,,,,,,,,,,,,,,,,,,,,
2023Jun,6,1.4,,,,5,10,40,35,10,,,,,,,,,,,,,
2023Jun,7,,,,,,,,,,,,,,,,,,,,,,
2023Jun,14,2.4,0,0,0,1,3,9,18,25,22,14,6,2,,,,,,,,,
2023Jun,15,,,,,,,,,,,,,,,,,,,,,,
2023Jun,16,1.1,3,3,5,8,16,20,17,13,10,4,1,0,,,,,,,,,
2023Jun,20,1.6,,,,,10,25,35,20,10,,,,,,,,,,,,
2023Jun,22,1.8,,,,,10,20,40,20,10,,,,,,,,,,,,
2023Jun,23,1.5,,,,5,12,20,30,22,10,1,,,,,,,,,,,
2023Jun,24,1.0696132791,1,3,6,14,20,18,20,12,3,2,1,,,,,,,,,,
2023Jun,26,1.5,,5,5,10,12,20,20,13,5,5,5,,,,,,,,,,
2023Jun,29,1.5,0,0,.5,1,4,7,70,10,6,1,.5,0,,,,,,,,,
2023Jun,30,,,,,,,,,,,,,,,,,,,,,,
2023Jun,32,,,,,,,,,,,,,,,,,,,,,,
2023Jun,37,2,,,,,,9,42,47,2,,,,,,,,,,,,
2023Jun,39,1.7,,,,,5,30,40,20,5,,,,,,,,,,,,
2023Jun,41,,,,,,,,,,,,,,,,,,,,,,
2023Jun,42,,,,,,,,,,,,,,,,,,,,,,
2023Jun,45,,,,,,,,,,,,,,,,,,,,,,
2023Jun,47,,,,,,,,,,,,,,,,,,,,,,
2023Jun,48,,,,,,,,,,,,,,,,,,,,,,
2023Jun,49,1.4,,,,,,,,,,,,,,,,,,,,,
2023Jun,52,,,,,,,,,,,,,,,,,,,,,,
2023Jun,54,,,,,,30,40,30,,,,,,,,,,,,,,
2023Jun,56,1.3,,,,5,20,40,25,5,5,,,,,,,,,,,,
2023Jun,61,,,,,,,,,,,,,,,,,,,,,,
2023Jun,65,,,,,,,,,,,,,,,,,,,,,,
2023Jun,73,1.3,,,,,20,50,25,5,,,,,,,,,,,,,
2023Jun,80,,,,,,,,,,,,,,,,,,,,,,
2023Jun,82,,,,,,,,,,,,,,,,,,,,,,
2023Jun,85,1.7103507687,.0000009509,.0001902714,.014499042,.4240549705,4.8153379545,21.4857176983,38.0368870568,26.8331745387,7.5228562576,.8309457256,.0357402238,.0005953099,,,,,,,,,
2023Jun,88,1.8,,,,,,,,,,,,,,,,,,,,,
2023Jun,89,1.4,,,2.5,2.5,20,35,20,10,7.5,2.5,,,,,,,,,,,
2023Jun,90,1.5,1,3,5,8,10,20,25,15,10,3,0,0,,,,,,,,,
2023Jun,91,1.4,0,0,0,2.5,17.5,35,25,15,5,0,0,0,,,,,,,,,
2023Jun,93,1.4,,,,,2.5,52.5,42.5,2.5,,,,,,,,,,,,,
2023Jun,97,,,,,,,,,,,,,,,,,,,,,,
2023Jun,98,1.4,,,,5,15,35,30,10,5,,,,,,,,,,,,
2023Jun,99,1.28,,,,,,,,,,,,,,,,,,,,,
2023Jun,101,1.2,,,,,,,,,,,,,,,,,,,,,
2023Jun,102,,,,,,,,,,,,,,,,,,,,,,
2023Jun,103,,,,,,,,,,,,,,,,,,,,,,
2023Jun,105,1.8,,,,,,5,90,5,,,,,,,,,,,,,
2023Jun,107,1.3820709319,.039991702,.3466101788,2.0310499176,7.5227890869,17.6299173117,26.1601628153,24.5865622298,14.6352028279,5.5150565172,1.3146422428,.1980198977,.0199952723,,,,,,,,,
2023Jun,109,1.6,0,0,0,0,5,30,55,10,0,0,0,0,,,,,,,,,
2023Jun,110,,,,,,,,,,,,,,,,,,,,,,
2023Jun,112,1.5,,,,5,15,25,30,15,10,,,,,,,,,,,,
2023Jun,114,1.9,,,,,,,,,,,,,,,,,,,,,
2023Jun,115,,,,,,,,,,,,,,,,,,,,,,
2023Jun,116,1,,,,,,,,,,,,,,,,,,,,,
2023Jun,117,.9871434491,,,,,,,,,,,,,,,,,,,,,
2023Jun,118,1.4,,,,,,,,,,,,,,,,,,,,,
2023Jun,119,,,,,,,5,5,80,5,5,,,,,,,,,,,
2023Jun,121,1.27,0,.5,5,10,19,30,19,10,5,.5,.5,.5,,,,,,,,,
2023Jun,127,1.6,.5,1,5,10,15,18,22,16,7,4,1,.5,,,,,,,,,
2023Jun,128,2,,,1,2,5,15,20,25,20,10,2,,,,,,,,,,
2026,1,1.6,,1,2,4,6,21,35,24,4,2,1,,,,,,,,,,
